effect_bundle_key	effect_key	effect_scope	value	advancement_stage
#effect_bundles_to_effects_junctions_tables;3;db/effect_bundles_to_effects_junctions_tables/Klissan_malakai_travel_overwrite				
wh3_dlc25_grudge_cycle_1_dummy	wh3_dlc25_effect_upkeep_grudge_settlers_dummy	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_1	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_1_dummy	wh3_dlc25_effect_grudge_units_unlock_1_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2_dummy	wh3_dlc25_effect_upkeep_grudge_settlers_dummy	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_1	wh3_dlc25_effect_grudge_units_unlock_1_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2_dummy	wh3_dlc25_effect_grudge_units_unlock_2_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_2	wh3_dlc25_effect_grudge_units_unlock_2_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_3_dummy	wh3_dlc25_effect_grudge_units_unlock_3_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4_dummy	wh3_dlc25_effect_upkeep_grudge_settlers_dummy	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_3	wh3_dlc25_effect_grudge_units_unlock_3_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5_dummy	wh3_dlc25_effect_dwf_grudge_cycle_army_spawn_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4_dummy	wh3_dlc25_effect_grudge_units_unlock_4_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5_dummy	wh3_dlc25_effect_upkeep_grudge_settlers_dummy	faction_to_force_own	0.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_dwf_grudge_cycle_army_spawn_dummy	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_4	wh3_dlc25_effect_grudge_units_unlock_4_merc	faction_to_faction_own_unseen	1.0000	start_turn_completed
wh3_dlc25_grudge_cycle_5	wh3_dlc25_effect_upkeep_grudge_settlers	faction_to_force_own	0.0000	start_turn_completed
